aX,aY,aZ,gX,gY,gZ
-0.387,-1.346,1.241,1.160,45.410,8.423
-0.434,-1.585,1.153,5.798,49.500,-5.066
-0.373,-1.585,0.938,7.568,58.899,-17.090
-0.255,-1.347,0.854,4.883,85.754,-32.410
0.019,-0.966,0.885,-5.798,96.375,-27.832
0.193,-1.003,1.076,-33.447,84.717,-14.893
0.497,-0.524,0.901,-33.203,62.561,-17.334
0.643,0.009,0.690,7.019,39.551,-14.526
0.854,1.249,0.518,31.982,38.574,-0.732
0.915,1.522,0.581,44.556,36.560,24.292
0.956,1.232,0.824,-25.452,-4.150,45.959
0.838,0.647,0.836,-113.037,-53.101,7.446
0.587,0.823,0.357,-233.276,-96.497,-91.492
-0.335,0.892,0.291,-199.280,-44.312,-127.930
-0.941,1.358,0.871,-65.125,106.506,-177.673
-1.578,2.869,2.359,-8.240,142.700,-141.235
-1.150,2.589,2.828,99.487,50.354,65.125
0.582,0.514,1.872,100.342,-53.955,143.188
1.125,-0.365,0.824,20.630,-177.490,146.851
1.031,-0.937,-0.553,11.963,-149.231,100.952
0.770,-0.724,-0.471,24.353,-82.275,51.086
0.329,-0.178,0.427,27.222,35.889,-7.751
0.162,-0.016,0.935,17.944,60.974,-15.686
0.029,0.118,1.289,6.226,47.363,-13.977
-0.043,0.336,1.277,5.127,25.574,-6.165
0.042,0.274,1.128,12.573,2.747,17.273
0.235,-0.041,1.023,12.939,0.793,21.973
0.267,-0.105,1.011,3.418,-1.770,13.611
0.220,-0.047,0.999,1.892,-1.587,8.057
0.181,0.029,1.016,8.972,2.502,5.859
0.154,0.033,1.062,14.160,5.371,9.094
0.191,-0.047,1.125,18.250,7.812,11.841
0.228,-0.126,1.158,19.226,0.916,6.409
0.177,-0.108,0.999,15.320,-7.019,0.122
0.109,-0.056,0.906,6.592,-12.512,-6.409
0.020,-0.015,0.853,5.310,-8.606,-6.104
0.018,-0.039,0.874,4.089,2.136,-5.127
0.045,-0.057,0.943,0.977,5.371,-6.165
0.044,-0.037,0.946,-3.113,7.568,-8.667
-0.005,0.063,0.969,-1.648,9.094,-8.179
-0.022,0.066,1.024,0.977,7.935,-2.686
0.007,0.020,1.031,1.282,3.052,0.000
0.035,0.005,0.962,1.099,-2.014,1.953
0.054,-0.004,0.906,-2.075,-2.808,3.662
0.053,0.018,0.965,-3.235,0.061,3.906
0.051,0.032,1.026,-0.854,0.061,6.836
0.101,-0.023,0.999,0.854,-3.784,8.606
0.137,-0.068,0.898,-1.343,-7.935,7.446
0.167,-0.088,0.791,-3.357,-2.441,4.700
0.160,-0.075,0.897,-2.197,12.268,-0.732
0.141,-0.034,1.123,-1.953,10.864,-2.197
0.134,-0.028,1.086,-2.869,3.479,-2.625
0.115,0.008,0.873,-5.005,-7.568,-2.808
0.115,0.014,0.842,-4.822,-4.761,-2.075
0.130,-0.013,0.896,0.732,6.775,0.488
0.150,-0.050,1.037,1.587,6.409,0.366
0.129,-0.015,1.010,-5.188,-3.235,-0.122
0.093,0.006,0.899,-6.958,-3.418,0.854
0.100,-0.019,0.928,-4.700,7.141,0.183
0.119,0.000,1.111,-3.540,9.827,-1.160
0.112,0.013,1.163,-0.488,1.709,-0.610
0.082,0.024,1.070,0.427,-4.456,0.488
0.080,0.018,1.007,1.465,-7.263,1.404
0.087,0.006,0.980,3.662,-2.258,0.977
0.103,0.001,1.015,2.197,1.038,0.061
0.096,0.001,1.041,-0.183,2.686,-1.282
0.064,0.045,1.051,0.916,1.526,-1.526
0.060,0.069,1.035,2.319,-1.770,2.258
0.086,0.012,1.002,1.953,-3.357,4.639
0.099,-0.009,0.972,0.366,-5.188,5.310
0.102,-0.007,0.911,-2.747,-5.859,4.089
0.105,-0.023,0.939,-2.747,-3.479,3.784
0.106,-0.034,0.980,-4.761,-0.427,1.709
0.103,-0.009,1.010,-5.676,-0.793,0.305
0.102,0.005,1.006,-5.249,-2.563,-0.549
0.100,0.017,0.995,-4.333,-3.174,0.122
0.096,0.003,0.990,-1.099,-0.488,0.305
0.089,0.014,1.018,0.549,1.953,-0.977
0.092,0.032,1.039,1.770,1.343,-1.526
0.106,0.023,1.006,1.587,-1.282,-0.244
0.108,0.015,0.970,0.977,-2.869,0.793
0.106,0.018,0.952,0.000,-0.305,1.465
0.113,-0.011,0.977,0.732,2.075,1.404
0.116,-0.015,0.993,0.549,4.089,-0.916
0.099,0.034,1.031,0.305,4.028,-1.526
0.095,0.043,1.054,2.197,0.916,0.305
0.105,0.014,1.042,2.380,-1.892,1.221
0.107,-0.013,1.004,1.587,-4.761,0.732
0.103,-0.020,0.942,0.000,-4.272,-0.732
0.100,0.002,0.943,-1.770,-2.991,-1.770
0.105,-0.001,0.987,-2.319,-0.916,-1.038
0.119,-0.036,0.987,-2.319,-0.977,-0.793
0.128,-0.057,0.966,-1.526,0.793,-4.333
0.100,-0.006,0.954,-1.160,3.418,-6.531
